Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,806.750000,810.150024,795.000000,800.250000,662.903564,31256
2016-08-22,798.000000,805.000000,789.700012,793.099976,656.980774,35023
2016-08-23,794.950012,808.400024,791.750000,804.700012,666.589844,368862
2016-08-24,810.000000,810.700012,803.049988,807.849976,669.199036,63573
2016-08-25,815.000000,827.700012,808.650024,823.349976,682.038879,105454
2016-08-26,829.500000,833.250000,812.750000,818.549988,678.062744,97246
2016-08-29,818.549988,831.500000,810.000000,829.599976,687.216370,66724
2016-08-30,830.099976,836.500000,826.650024,830.450012,687.920288,947587
2016-08-31,832.000000,837.250000,815.250000,819.549988,678.891052,39423
2016-09-01,822.000000,844.500000,820.250000,834.349976,691.151001,72306
2016-09-02,835.000000,836.049988,825.299988,828.650024,686.429260,15954
2016-09-06,839.000000,840.500000,826.900024,833.049988,690.074158,47611
2016-09-07,838.000000,841.750000,813.150024,820.150024,679.388245,30878
2016-09-08,819.900024,825.799988,811.000000,818.349976,677.897034,23843
2016-09-09,815.000000,816.900024,791.099976,795.450012,658.927307,62557
2016-09-12,785.000000,785.000000,760.250000,766.799988,635.194641,56159
2016-09-14,768.000000,795.849976,768.000000,793.299988,657.146301,35690
2016-09-15,789.250000,799.450012,782.549988,786.400024,651.430664,28220
2016-09-16,789.500000,814.000000,789.500000,806.299988,667.915222,75669
2016-09-19,807.000000,809.750000,795.099976,797.549988,660.666931,47764
2016-09-20,800.400024,810.450012,791.000000,803.700012,665.761536,44382
2016-09-21,801.349976,802.950012,792.200012,794.549988,658.181885,41962
2016-09-22,800.000000,807.599976,796.500000,800.650024,663.235107,34345
2016-09-23,805.000000,821.950012,804.450012,814.400024,674.625122,54096
2016-09-26,808.950012,816.950012,803.799988,812.549988,673.092529,31004
2016-09-27,813.950012,823.000000,808.299988,811.750000,672.429810,68075
2016-09-28,815.000000,824.000000,802.500000,815.549988,675.577576,31229
2016-09-29,826.000000,846.000000,766.200012,787.099976,652.010498,117958
2016-09-30,790.000000,830.750000,789.549988,828.200012,686.056580,86088
2016-10-03,820.250000,859.200012,819.500000,855.450012,708.629639,145825
2016-10-04,855.000000,876.000000,848.549988,872.200012,722.504822,131890
2016-10-05,873.000000,879.799988,861.099976,865.099976,716.623474,38821
